t,x,y,q,dx,dy,dq,u1,u2
0,1,1,6.28318530717959,0,0,0,2,2
0.00671140939597315,1.00000050182655,1.00000238708473,6.28334765762947,2.1526550339427e-05,0.0010336917434154,0.0466952518784422,2.24282826464486,1.88020155133953
0.0134228187919463,1.00000122866421,1.00001863871647,6.28412863195205,1.87947004338053e-05,0.00412370213522079,0.178192257339876,2.45951722756177,1.78558374895415
0.0201342281879195,1.00000101254994,1.00006239046156,6.28596911460669,-0.00010916280110267,0.00925343391775496,0.381607891123461,2.65011585242114,1.71610724395233
0.0268456375838926,0.99999868552073,1.00014727788631,6.28930999005276,-0.000463313205655803,0.0164062898333567,0.644059027968358,2.81467310289338,1.67173268744255
0.0335570469798658,0.99999308073854,1.00028693675327,6.294592108684,-0.0011446494154999,0.0255656801001685,0.952662593660111,2.95324238606245,1.65241612514866
0.0402684563758389,0.999983005748473,1.00049503049,6.30215967375428,-0.00230572073060426,0.0367174843289284,1.29532374729255,3.07012041035216,1.65371292721972
0.0469798657718121,0.999963009749013,1.0007846000838,6.31212108365526,-0.00419719467171411,0.049829166956618,1.66270993323711,3.1690501376109,1.67174230935448
0.0536912751677852,0.999925731249578,1.00116838137742,6.32455733709878,-0.00707180190841383,0.0648578053417332,2.04609272097819,3.25002970253217,1.70650246612278
0.0604026845637584,0.999863808759583,1.00165911021361,6.33954943279668,-0.0111822731102878,0.08176047684277,2.43674368000019,3.31305723980944,1.75799159209444
0.0671140939597315,0.999769881261434,1.00226952500369,6.35717825344551,-0.016781461958311,0.100494283781571,2.82593454787808,3.35814487554607,1.82619179126924
0.0738255033557047,0.999634943739108,1.00301247781062,6.37745104112132,-0.0241589870984346,0.121005872300731,3.20562547845671,3.38883019970446,1.90702994751282
0.0805369127516778,0.999443779272591,1.00389880239814,6.40022588717861,-0.0336176799557215,0.14318172062246,3.57003329262851,3.40785198978615,1.99734871629764
0.087248322147651,0.999179728293287,1.00493842052154,6.4253496245708,-0.0454406755915167,0.166890592326189,3.91383650319471,3.41520642291132,2.09714420122762
0.0939597315436242,0.998826131232601,1.00614125393614,6.45266908625135,-0.059911109067165,0.192001250991349,4.2317136229565,3.4108896762002,2.20641250590667
0.100671140939597,0.998366319039897,1.00751722992903,6.48203089691602,-0.0773123517199793,0.218382355282128,4.51834363096216,3.39492147445808,2.32511958163399
0.10738255033557,0.997780939288668,1.00907569781483,6.51323061966281,-0.0979315016598726,0.245871156393262,4.76900439727138,3.37007580908034,2.44970402452013
0.114093959731544,0.997045813173287,1.01082177225922,6.54598371494796,-0.121968243108483,0.274245856203463,4.98074701494342,3.3382527343429,2.57772159320024
0.120805369127517,0.996136476279073,1.01275929968212,6.58000464159078,-0.14958711072501,0.303280347147189,5.1509492040165,3.29944439806755,2.70917069373303
0.12751677852349,0.995028464191346,1.01489212650344,6.61500785841064,-0.180952639168655,0.332748521658901,5.27698868452886,3.2536429480761,2.84404973217723
0.134228187919463,0.993697284622429,1.01722409433035,6.65070755260419,-0.216229441188273,0.362423851246183,5.35624401884914,3.20087154609252,2.98231552693324
0.140939597315436,0.992116130940962,1.01975708637545,6.68678795633252,-0.255540130262618,0.392054229674482,5.38658863417341,3.14326945612103,3.1210875797639
0.147651006711409,0.990257677410033,1.02248808502046,6.72290539758895,-0.298859130682903,0.421408639806905,5.36722317746377,3.08213672550333,3.25861147210665
0.154362416107383,0.988095534992573,1.02541332284485,6.7587210041701,-0.346129890728694,0.450275691005845,5.2975684737073,3.01746271534736,3.39489047264458
0.161073825503356,0.985603314651513,1.02852903242812,6.79389590387261,-0.397295858679557,0.478443992633698,5.17704534789107,2.94923678676107,3.52992785006078
0.167785234899329,0.982754592079171,1.03183141068018,6.82809094513005,-0.452300034136479,0.505701769768918,5.00507579136788,2.87748514446691,3.66368099235714
0.174496644295302,0.979522594235251,1.03531402996009,6.86095562213555,-0.511018482482195,0.5318580785797,4.78146991886966,2.80389207478983,3.7940435570429
0.181208053691275,0.975884877725127,1.03896825744952,6.89214882280327,-0.573201230197982,0.556840526689834,4.50698601352753,2.72936849286013,3.91987530441947
0.187919463087248,0.97182051277912,1.042785831957,6.92133704009149,-0.638585671951239,0.580605779798636,4.18252444265107,2.65390428413374,4.04118347104149
0.194630872483221,0.967308569627554,1.04675849229107,6.94818676695844,-0.706909202409363,0.603110503605425,3.80898557354983,2.57748933406655,4.15797529346358
0.201342281879195,0.962328099736904,1.0508779175025,6.97236427469009,-0.777908560664319,0.62431185254614,3.38727111302164,2.50015538667771,4.27021634740129
0.208053691275168,0.956860178137747,1.05513445566907,6.99354006676208,-0.851270506915388,0.644237406552021,2.91857316995595,2.42327445518008,4.37653902823647
0.214765100671141,0.950893341976617,1.05952105310883,7.01141924615777,-0.926614000215615,0.663055576888203,2.40473493669059,2.34750912183592,4.47628387448463
0.221476510067114,0.944417594846976,1.06403187060788,7.02571549626258,-1.00355559967539,0.680951304438739,1.84768819085627,2.27285258530327,4.56945798320989
0.228187919463087,0.937422940342287,1.06866106895234,7.03614250046192,-1.0817118644051,0.698109530087681,1.24936471008371,2.19929804424014,4.65606845147635
0.23489932885906,0.929899379069563,1.07340277695544,7.04241384435154,-1.1606992845624,0.714717027074966,0.611697607747513,2.12688424477061,4.73609220454457
0.241610738255034,0.921840445456843,1.07825258672365,7.04425999616335,-1.24011035856705,0.731038579936121,-0.0631736410273673,2.05674144348842,4.80878287965781
0.248322147651007,0.913248938817712,1.08321224368767,7.04146198249898,-1.31948140957326,0.747400409249124,-0.772682361322306,1.98935869280391,4.87381824087667
